CSVv2;OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula
3, iterativefit, up_hfstats2, 0, 0.0, 2.4, 20, 30, 0.8135, 0.8405, "17.4398+-19.8331*x"
3, iterativefit, up_hfstats2, 0, 0.0, 2.4, 20, 30, 0.8405, 0.8675, "-9.12229+11.7696*x"
3, iterativefit, up_hfstats2, 0, 0.0, 2.4, 20, 30, 0.8675, 0.8945, "6.76613+-6.54554*x"
3, iterativefit, up_hfstats2, 0, 0.0, 2.4, 20, 30, 0.8945, 0.9215, "1.35577+-0.497074*x"
3, iterativefit, up_hfstats2, 0, 0.0, 2.4, 20, 30, 0.9215, 0.9415, "-0.461493+1.475*x"
3, iterativefit, up_hfstats2, 0, 0.0, 2.4, 20, 30, 0.9415, 0.9545, "1.57064+-0.683397*x"
3, iterativefit, up_hfstats2, 0, 0.0, 2.4, 20, 30, 0.9545, 0.9675, "-1.03842+2.05004*x"
3, iterativefit, up_hfstats2, 0, 0.0, 2.4, 20, 30, 0.9675, 0.9805, "4.83349+-4.01913*x"
3, iterativefit, up_hfstats2, 0, 0.0, 2.4, 20, 30, 0.9805, 0.9985, "11.3123+-10.6268*x"
3, iterativefit, up_hfstats2, 0, 0.0, 2.4, 20, 30, 0.9985, 1.1, "0.636659"
3, iterativefit, down_hfstats2, 0, 0.0, 2.4, 20, 30, -15, 0, "2.56606"
3, iterativefit, down_hfstats2, 0, 0.0, 2.4, 20, 30, 0, 0.12, "0.738738"
3, iterativefit, down_hfstats2, 0, 0.0, 2.4, 20, 30, 0.12, 0.35, "0.394762+3.47761*x"
3, iterativefit, down_hfstats2, 0, 0.0, 2.4, 20, 30, 0.35, 0.494, "-5.24261+19.5844*x"
3, iterativefit, down_hfstats2, 0, 0.0, 2.4, 20, 30, 0.494, 0.562, "23.3317+-38.2584*x"
3, iterativefit, down_hfstats2, 0, 0.0, 2.4, 20, 30, 0.562, 0.63, "6.17559+-7.73146*x"
3, iterativefit, down_hfstats2, 0, 0.0, 2.4, 20, 30, 0.63, 0.698, "0.637718+1.0588*x"
3, iterativefit, down_hfstats2, 0, 0.0, 2.4, 20, 30, 0.698, 0.766, "6.88686+-7.89413*x"
3, iterativefit, down_hfstats2, 0, 0.0, 2.4, 20, 30, 0.766, 0.8135, "-6.66152+9.79306*x"
3, iterativefit, down_hfstats2, 0, 0.0, 2.4, 20, 30, 0.8135, 0.8405, "18.3635+-20.9691*x"
3, iterativefit, down_hfstats2, 0, 0.0, 2.4, 20, 30, 0.8405, 0.8675, "-8.57651+11.0833*x"
3, iterativefit, down_hfstats2, 0, 0.0, 2.4, 20, 30, 0.8675, 0.8945, "7.29439+-7.21173*x"
3, iterativefit, down_hfstats2, 0, 0.0, 2.4, 20, 30, 0.8945, 0.9215, "1.57462+-0.817351*x"
3, iterativefit, down_hfstats2, 0, 0.0, 2.4, 20, 30, 0.9215, 0.9415, "1.99642+-1.27509*x"
3, iterativefit, down_hfstats2, 0, 0.0, 2.4, 20, 30, 0.9415, 0.9545, "0.923201+-0.135181*x"
3, iterativefit, down_hfstats2, 0, 0.0, 2.4, 20, 30, 0.9545, 0.9675, "-1.01596+1.89642*x"
3, iterativefit, down_hfstats2, 0, 0.0, 2.4, 20, 30, 0.9675, 0.9805, "4.26797+-3.56501*x"
3, iterativefit, down_hfstats2, 0, 0.0, 2.4, 20, 30, 0.9805, 0.9985, "8.41223+-7.79169*x"
3, iterativefit, down_hfstats2, 0, 0.0, 2.4, 20, 30, 0.9985, 1.1, "0.575134"
3, iterativefit, up_cferr1, 1, 0.0, 2.4, 20, 30, -15, 0, "1.89226"
3, iterativefit, up_cferr1, 1, 0.0, 2.4, 20, 30, 0, 0.12, "1.69394"
3, iterativefit, up_cferr1, 1, 0.0, 2.4, 20, 30, 0.12, 0.35, "2.17986+-4.04927*x"
3, iterativefit, up_cferr1, 1, 0.0, 2.4, 20, 30, 0.35, 0.494, "0.958454+-0.559547*x"
3, iterativefit, up_cferr1, 1, 0.0, 2.4, 20, 30, 0.494, 0.562, "1.93393+-2.5342*x"
3, iterativefit, up_cferr1, 1, 0.0, 2.4, 20, 30, 0.562, 0.63, "-0.149338+1.17269*x"
3, iterativefit, up_cferr1, 1, 0.0, 2.4, 20, 30, 0.63, 0.698, "1.03101+-0.700887*x"
3, iterativefit, up_cferr1, 1, 0.0, 2.4, 20, 30, 0.698, 0.766, "2.2207+-2.40532*x"
3, iterativefit, up_cferr1, 1, 0.0, 2.4, 20, 30, 0.766, 0.8135, "-1.25534+2.13261*x"
3, iterativefit, up_cferr1, 1, 0.0, 2.4, 20, 30, 0.8135, 0.8405, "1.23941+-0.934084*x"
3, iterativefit, up_cferr1, 1, 0.0, 2.4, 20, 30, 0.8405, 0.8675, "3.29366+-3.37817*x"
3, iterativefit, up_cferr1, 1, 0.0, 2.4, 20, 30, 0.8675, 0.8945, "0.975939+-0.706442*x"
3, iterativefit, up_cferr1, 1, 0.0, 2.4, 20, 30, 0.8945, 0.9215, "0.0842911+0.290369*x"
